Time,compartment,A,B,C,reversMA,irreversMA
0.0,1.0,10.0,5.0,0.0,30.0,30.0
0.01,1.0,9.705882112036116,4.994234721535492,0.29988316642839213,28.835059005073482,29.965408329212956
0.02,1.0,9.423076610596311,4.977828677469952,0.5990947119337372,27.736649087445343,29.866972064819713
0.03,1.0,9.150943757216751,4.952022220961156,0.8970340218220912,26.699730586944693,29.71213332576694
0.04,1.0,8.888892022558245,4.917936701882371,1.1931712755593817,25.719694686468237,29.507620211294224
0.05,1.0,8.636373972458689,4.876585388163622,1.4870406393776878,24.79232511350751,29.259512328981728
0.06,1.0,8.392882519484557,4.828883396538082,1.77823408397736,23.913763284862064,28.97330037922849
0.07,1.0,8.15794750712665,4.775656722255049,2.0663957706182994,23.0804765839965,28.653940333530294
0.08,1.0,7.931132596748354,4.717650449230765,2.35121695402088,22.289229488531884,28.305902695384592
0.09,1.0,7.712032430090252,4.65553621474871,2.6324313551610374,21.537057290863586,27.93321728849226
0.1,1.0,7.500270042587222,4.589918996126055,2.909810961286722,20.821242178096778,27.539513976756332
0.11,1.0,7.295494504985017,4.521343280672615,3.1831622143423677,20.13929145859484,27.12805968403569
0.12,1.0,7.097378772772923,4.450298674728318,3.452322552498757,19.488917741635056,26.701792048369906
0.13,1.0,6.905617724795407,4.377225002525304,3.7171572726792874,18.86802089413102,26.263350015151822
0.14,1.0,6.719926374085409,4.302516941035908,3.9775566848786816,18.27467161426982,25.815101646215446
0.15,1.0,6.540038235490051,4.226528232797151,4.233433531712796,17.707096476365898,25.35916939678291
0.16,1.0,6.36570383604972,4.149575514908287,4.484720649041991,17.163664314382306,24.897453089449723
0.17,1.0,6.196689355356248,4.071941798946573,4.731368845697179,16.642873823531843,24.431650793679438
0.18,1.0,6.032775384266514,3.9938796334068045,4.973344982326681,16.143342270252447,23.963277800440828
0.19,1.0,5.873755791394587,3.9156139774140524,5.2106302311913595,15.663795210750244,23.493683864484314
0.2,1.0,5.719436687757851,3.837344811860893,5.443218500381256,15.203057127309616,23.02406887116536
0.21,1.0,5.569635480818939,3.7592495117569986,5.671115007424062,14.76004289976176,22.555497070541993
0.22,1.0,5.4241800099535995,3.681485001428916,5.894334988617485,14.333750036956566,22.088910008573496
0.23,1.0,5.282907756091649,3.604189712252097,6.112902531656254,13.9232515998624,21.625138273512583
0.24,1.0,5.145665118930677,3.527485360818093,6.32684952025123,13.527689754086522,21.164912164908557
0.25,1.0,5.012306755715693,3.4514785638213787,6.536214680462927,13.146269895220016,20.708871382928272
0.26,1.0,4.88269497611797,3.3762623044780438,6.7410427194039855,12.778255295515795,20.257573826868263
0.27,1.0,4.756699188237656,3.3019172639493193,6.941383547813024,12.422962225051986,19.811503583695917
0.28,1.0,4.634195391201756,3.2285130300246347,7.137291578773607,12.079755504757756,19.37107818014781
0.29,1.0,4.515065710235804,3.1561091942106745,7.328825095553519,11.748044452521867,18.936655165264046
0.3,1.0,4.3991979704575535,3.0847563473647885,7.516045682177655,11.427279187100638,18.508538084188732
0.31,1.0,4.286485305977748,3.0144969830940775,7.699017710928172,11.116947257722837,18.086981898564467
0.32,1.0,4.176825801199309,2.9453663173072853,7.877807881493404,10.816570570182664,17.67219790384371
0.33,1.0,4.070122161485037,2.8773930315478013,8.05248480696716,10.525702582844547,17.26435818928681
0.34,1.0,3.9662814106175035,2.8105999470458043,8.22311864233669,10.243925748378405,16.863599682274824
0.35,1.0,3.8652146127055533,2.7450046357996984,8.389780751494744,9.970849179222817,16.47002781479819
0.36,1.0,3.7668366164018274,2.680619974425812,8.552543409172355,9.706106516755685,16.08371984655487
0.37,1.0,3.671065819486718,2.617454645995783,8.711479534517494,9.449353985955305,15.704727875974697
0.38,1.0,3.5778239520480493,2.5555135946084464,8.8666624533435,9.200268618975304,15.333081567650678
0.39,1.0,3.487035876643938,2.494798437013154,9.018165686342904,8.958546632549444,14.968790622078924
0.4,1.0,3.3986294039802365,2.4353078352103967,9.166062760809362,8.723901945500153,14.61184701126238
0.41,1.0,3.3125351227649547,2.3770378335999167,9.310427043635125,8.496064823859985,14.2622270015995
0.42,1.0,3.2286862425212535,2.3199821639229214,9.45133159355582,8.274780642239172,13.91989298353753
0.43,1.0,3.1470184482490757,2.2641325209507306,9.588849030800189,8.059808751094842,13.584795125704384
0.44,1.0,3.0674697659242103,2.209478811604467,9.723051422471318,7.850921440487907,13.256872869626802
0.45,1.0,2.9899804379134114,2.156009379946918,9.854010182139664,7.64790299175981,12.936056279681509
0.46,1.0,2.914492807465978,2.103711210266186,9.98179598226783,7.450548809331541,12.622267261597116
0.47,1.0,2.8409512115166082,2.0525701102693175,10.106478678214067,7.258664625527798,12.315420661615905
0.48,1.0,2.769301881102076,2.002570876220839,10.228127242677077,7.072065771966627,12.015425257325035
0.49,1.0,2.699492848755938,1.9536974416944624,10.346809709549593,6.890576511634828,11.722184650166774
0.5,1.0,2.6314738623015845,1.9059330114546396,10.46259312624377,6.714029426297059,11.435598068727838
0.51,1.0,2.5651963045150405,1.859260181846745,10.575543513638209,6.542264854366673,11.15556109108047
0.52,1.0,2.5006131181754196,1.8136610489492762,10.685725832875299,6.375130374803126,10.881966293695656
0.53,1.0,2.4376787360632655,1.7691173056273943,10.793203958309338,6.212480332998274,10.614703833764366
0.54,1.0,2.376349015505563,1.725610328523381,10.898040655971055,6.0541754049754894,10.353661971140287
0.55,1.0,2.316581177101281,1.6831212559252546,11.000297566973464,5.900082196554615,10.098727535551529
0.56,1.0,2.258333747293266,1.6416310573689623,11.100035195337771,5.750072874435139,9.849786344213774
0.57,1.0,2.2015665044813906,1.6011205957515378,11.19731289976707,5.604024826422487,9.606723574509227
0.58,1.0,2.1462404283983676,1.5615706826616367,11.292188888939993,5.461820348270197,9.36942409596982
0.59,1.0,2.092317652493747,1.5229621275693161,11.384720219936934,5.323346354836356,9.137772765415896
0.6,1.0,2.0397614190936,1.4852757814582296,11.474962799448166,5.188494113457942,8.911654688749378
0.61,1.0,1.9885360371234133,1.4484925754300286,11.562971387446556,5.057158997633596,8.690955452580171
0.62,1.0,1.9386068421999265,1.412593554762226,11.648799603037848,4.929240259275254,8.475561328573356
0.63,1.0,1.8899401589142895,1.3775599088566288,11.732499932229082,4.8046408179439,8.265359453139773
0.64,1.0,1.8425032651440114,1.343372997475321,11.814123737380667,4.683267065625404,8.060237984851927
0.65,1.0,1.7962643582449946,1.310014373624672,11.893721268130333,4.565028685730635,7.860086241748032
0.66,1.0,1.7511925229874896,1.2774658034146735,11.971341673597838,4.449838485120612,7.664794820488041
0.67,1.0,1.7072577011112762,1.2457092831907217,12.047033015698004,4.337612238063661,7.47425569914433
0.68,1.0,1.6644306623858067,1.2147270542075463,12.120842283406649,4.228268541128134,7.288362325245278
0.69,1.0,1.6226829770705662,1.1845016150900358,12.192815407839399,4.121728678102193,7.107009690540215
0.7,1.0,1.581986989679588,1.1550157323030408,12.262997278017371,4.017916494112271,6.930094393818244
0.71,1.0,1.5423157939619698,1.1262524488316301,12.3314317572064,3.916758278184619,6.757514692989781
0.72,1.0,1.5036432090174594,1.098195091254528,12.398161699728012,3.8181826535607817,6.589170547527168
0.73,1.0,1.465943756472763,1.070827275376444,12.463228968150792,3.7221204751381642,6.424963652258665
0.74,1.0,1.4291926386502376,1.0441329105695143,12.526674450780245,3.628504733461922,6.264797463417086
0.75,1.0,1.3933657176661092,1.0180962029600145,12.588538079373873,3.5372704647444078,6.108577217760087
0.76,1.0,1.358439495400374,0.9927016575837155,12.648858847015907,3.448354666434065,5.956209945502293
0.77,1.0,1.324391094285099,0.9679340796216327,12.707674826093264,3.3616962178971304,5.807604477729797
0.78,1.0,1.2911982388620198,0.9437785748173632,12.765023186320615,3.277235805813353,5.662671448904179
0.79,1.0,1.2588392380641453,0.9202205491676154,12.820940212768237,3.1949158539213505,5.5213232950056925
0.8,1.0,1.2272929681795601,0.8972457079688165,12.87546132385162,3.1146804567806075,5.383474247812899
0.81,1.0,1.196538856458806,0.8748400542947684,12.928621089246425,3.036475317245687,5.24904032576861
0.82,1.0,1.1665568653301313,0.8529898869731309,12.980453247696735,2.960247687374263,5.117939321838786
0.83,1.0,1.137327477189561,0.8316817981219827,13.030990724688452,2.885946312514278,4.990090788731896
0.84,1.0,1.1088316797351834,0.8109026703017722,13.08026564996304,2.813521378337189,4.865416021810633
0.85,1.0,1.081050951817267,0.7906396733325949,13.128309374850135,2.7429244606038785,4.74383803999557
0.86,1.0,1.0539672497778805,0.7708802608218341,13.175152489400281,2.6741084774678536,4.625281564931004
0.87,1.0,1.0275629942555469,0.7516121664427722,13.220824839301677,2.607027644136643,4.509672998656633
0.88,1.0,1.0018210574321826,0.7328234000007449,13.265355542567068,2.541637429727241,4.396940400004469
0.89,1.0,0.9767247507011435,0.7145022433197591,13.308773005979091,2.4778945161650556,4.287013459918555
0.9,1.0,0.952257812736649,0.6966372459791775,13.351104941284168,2.415756758988241,4.179823475875065
0.91,1.0,0.9284043979461654,0.6792172209270642,13.392378381126766,2.355183149930533,4.075303325562385
0.92,1.0,0.9051490652885599,0.6622312399940563,13.43261969471738,2.2961337811661267,3.9733874399643376
0.93,1.0,0.8824767674419464,0.6456686293291555,13.471854603228891,2.2385698111094747,3.8740117759749326
0.94,1.0,0.8603728403061721,0.6295189647765879,13.510108194917233,2.1824534316715125,3.777113788659527
0.95,1.0,0.8388229928258412,0.6137720672108509,13.547404939963302,2.127747836881663,3.682632403265105
0.96,1.0,0.8178132971206399,0.5984179978452226,13.583768705034132,2.0744171927921142,3.590507987071336
0.97,1.0,0.7973301789105322,0.5834470535273424,13.619222767562118,2.022426608587444,3.5006823211640543
0.98,1.0,0.7773604082241297,0.5688497620339638,13.653789829741898,1.9717421088285911,3.4130985722037828
0.99,1.0,0.7578910903792261,0.5546168773756097,13.687492032245155,1.922330606765685,3.3277012642536583
1.0,1.0,0.7389096572251131,0.5407393751206309,13.720350967654248,1.8741598786591909,3.244436250723785
1.01,1.0,0.7204038586368786,0.5272084477470428,13.752387693616072,1.8271985390534289,3.1632506864822565
1.02,1.0,0.7023617542524252,0.5140155000295117,13.783622745718057,1.7814160169506774,3.08409300017707
1.03,1.0,0.6847717054434462,0.5011521444679463,13.814076150088603,1.7367825328378923,3.006912866807678
1.04,1.0,0.6676223675120588,0.4886101967633261,13.843767435724608,1.6932690765215832,2.931661180579957
1.05,1.0,0.6509026821052203,0.47638167134565473,13.872715646549118,1.6508473857295716,2.8582900280739283
1.06,1.0,0.6346018698394537,0.46445877695825627,13.900939353202283,1.6094899254413022,2.7867526617495377
1.07,1.0,0.618709423128777,0.4528339123020281,13.928456664569188,1.5691698679110517,2.7170034738121682
1.08,1.0,0.6032150992090759,0.4414996617427185,13.955285239048196,1.5298610733508666,2.648997970456311
1.09,1.0,0.5881089133524766,0.4304487910838096,13.981442295563706,1.4915380712422872,2.5826927465028575
1.1,1.0,0.5733811322655809,0.4196742434071444,14.006944624327266,1.4541760422480348,2.5180454604428664
1.11,1.0,0.5590222676656956,0.409169134983043,14.031808597351251,1.4177508006966963,2.455014809898258
1.12,1.0,0.5450230700294573,0.398926751251298,14.056050178719234,1.3822387776152332,2.393560507507788
1.13,1.0,0.5313745225084907,0.38894054287412017,14.079684934617378,1.3476170042857225,2.333643257244721
1.14,1.0,0.5180678350069726,0.3792041218618258,14.10272804313119,1.3138630963042388,2.2752247311709546
1.15,1.0,0.5050944384161813,0.36971125777179786,14.125194303812009,1.2809552381211295,2.2182675466307873
1.16,1.0,0.49244597900131976,0.36045587398103174,14.147098147017639,1.2488721680432155,2.1627352438861904
1.17,1.0,0.48011431293608375,0.35143204403237205,14.168453643031533,1.217593163679591,2.1085922641942325
1.18,1.0,0.46809150098062535,0.34263398805436907,14.189274510964994,1.1870980278137633,2.055803928326214
1.19,1.0,0.4563698032987326,0.33405606925452624,14.20957412744673,1.157367074685878,2.0043364155271575
1.2,1.0,0.4449416744102001,0.3256927904855673,14.229365535104222,1.1283811166696658,1.954156742913404
1.21,1.0,0.4337997582745181,0.3175387908842321,14.24866145084124,1.1001214513296083,1.9052327453053925
1.22,1.0,0.4229368835021457,0.30958884258199776,14.267474273915846,1.0725698488445872,1.8575330554919867
1.23,1.0,0.41234605868977,0.3018378474870311,14.285816093823188,1.0457085397850179,1.8110270849221863
1.24,1.0,0.40202046787607826,0.294280834136593,14.303698697987315,1.019520203231127,1.765685004819558
1.25,1.0,0.3919534661146904,0.2869129546190454,14.32113357926625,0.9939879552206707,1.7214777277142725
1.26,1.0,0.38213857516101385,0.27972948156455046,14.338131943274425,0.9690953375149545,1.6783768893873028
1.27,1.0,0.372569479269891,0.27272580520349754,14.354704715526601,0.9448263066725688,1.6363548312209852
1.28,1.0,0.363240021101013,0.2658974304916525,14.370862548407326,0.921165223420747,1.595384582949915
1.29,1.0,0.35414419772917255,0.2592399743009833,14.386615827969836,0.8980968423147236,1.5554398458058998
1.3,1.0,0.34527615675652085,0.25274916267508735,14.401974680568385,0.8756063016759087,1.5164949760505242
1.31,1.0,0.336630192524086,0.2464208281481222,14.416948979327787,0.8536791138000996,1.4785249688887332
1.32,1.0,0.3282007424198941,0.2402509071261199,14.43154835045398,0.8323011554273366,1.4415054427567195
1.33,1.0,0.31998238328111744,0.23423543732955301,14.445782179389324,0.8114586584653638,1.4054126239773181
1.34,1.0,0.3119698278877515,0.22837055529600758,14.459659616816234,0.7911382009589909,1.3702233317760455
1.35,1.0,0.30415792154540106,0.22265249394181347,14.473189584512777,0.7713266982979773,1.3359149636508807
1.36,1.0,0.29654163875482326,0.21707758018147905,14.48638078106369,0.7520113946563349,1.3024654810888743
1.37,1.0,0.28911607996594985,0.21164223260377588,14.499241687430267,0.7331798546562476,1.2698533956226552
1.38,1.0,0.2818764684141743,0.2063429592033227,14.511780572382495,0.7148199552500518,1.2380577552199363
1.39,1.0,0.27481814703675517,0.2011763551665216,14.524005497796717,0.6969198778139775,1.2070581309991297
1.4,1.0,0.26793657546724853,0.19613910071070692,14.535924323822037,0.6794681004475802,1.1768346042642415
1.41,1.0,0.2612273271059424,0.1912279589753754,14.547544713918674,0.6624533904730188,1.1473677538522524
1.42,1.0,0.25468608626432243,0.18643977396437658,14.558874139771293,0.6458647971285365,1.1186386437862594
1.43,1.0,0.24830864538165487,0.1817714685379539,14.569919886080383,0.6296916444507117,1.0906288112277234
1.44,1.0,0.24209090231182473,0.17722004245353948,14.580689055234629,0.6139235243402199,1.0633202547212368
1.45,1.0,0.2360288576786203,0.17278257045421988,14.591188571867152,0.5985502898060415,1.0366954227253193
1.46,1.0,0.23011861229770372,0.16845620040380424,14.601425187298481,0.5835620483832065,1.0107372024228254
1.47,1.0,0.2243563646635562,0.1642381514674419,14.61140548386899,0.5689491557193411,0.9854289088046513
1.48,1.0,0.2187384084997332,0.16012571233675277,14.621135879163502,0.5547022093254272,0.9607542740205166
1.49,1.0,0.2132611303708091,0.1561162394984502,14.630622630130729,0.5408120424863361,0.9366974369907011
1.5,1.0,0.20792100735443608,0.15220715554545294,14.639871837100099,0.5272697183268384,0.9132429332727177
1.51,1.0,0.20271460477198258,0.1483959475295008,14.648889447698506,0.5140665240289287,0.8903756851770048
1.52,1.0,0.19763857397625906,0.1446801653543049,14.657681260669428,0.5011939651964264,0.8680809921258293
1.53,1.0,0.19268965019487747,0.14105742020828327,14.66625292959683,0.4886437603629433,0.8463445212496996
1.54,1.0,0.18786465042783018,0.13752538303594838,14.674609966536213,0.47640783563942396,0.8251522982156902
1.55,1.0,0.1831604713979113,0.13408178304703308,14.682757745555048,0.46447831949757906,0.8044906982821984
1.56,1.0,0.1785740875526387,0.13072440626245757,14.690701506184896,0.4528475376856397,0.7843464375747454
1.57,1.0,0.17410254911637152,0.12745109409626024,14.69844635678736,0.4415080082729656,0.7647065645775615
1.58,1.0,0.1697429801913516,0.12425974197263136,14.705997277836008,0.43045243682014367,0.7455584518357882
1.59,1.0,0.16549257690642988,0.12114829797720784,14.713359125116353,0.41967371167130385,0.7268897878632471
1.6,1.0,0.16134860561227193,0.1181147615418037,14.720536632845915,0.40916489936548034,0.7086885692508222
1.61,1.0,0.15730840112186756,0.11515718216176996,14.727534416716354,0.3989192401639303,0.6909430929706197
1.62,1.0,0.15336936499519999,0.11227365814519445,14.734356976859598,0.388930143690411,0.6736419488711667
1.63,1.0,0.14952896386695955,0.10946233539316894,14.741008700739862,0.3791911846815003,0.6567740123590136
1.64,1.0,0.1457847278162159,0.10672140621036887,14.747493865973407,0.3696960988441259,0.6403284372622132
1.65,1.0,0.14213424877699046,0.1040491081452071,14.753816643077794,0.36043877881754766,0.6242946488712426
1.66,1.0,0.13857517898869795,0.10144372285884039,14.759981098152455,0.351413270237111,0.6086623371530423
1.67,1.0,0.13510522948545217,0.09890357502232278,14.76599119549222,0.34261376789716314,0.5934214501339367
1.68,1.0,0.13172216862325792,0.09642703124121728,14.77185080013552,0.33403461201059714,0.5785621874473037
1.69,1.0,0.12842382064413413,0.09401249900699211,14.777563680348868,0.3256702845625523,0.5640749940419527
1.7,1.0,0.12520806427623965,0.09165842567454395,14.78313351004921,0.31751540575587067,0.5499505540472637
1.71,1.0,0.12207283136909526,0.08936329746520556,14.788563871165694,0.3095647305459699,0.5361797847912334
1.72,1.0,0.11901610556301939,0.08712563849461048,14.793858255942366,0.30181314526285663,0.5227538309676629
1.73,1.0,0.11603592099191733,0.08494400982480209,14.799020069183277,0.29425566431806516,0.5096640589488125
1.74,1.0,0.11313036101858537,0.08281700853998876,14.804052630441422,0.286887426994364,0.4969020512399326
1.75,1.0,0.11029755700171295,0.08074326684536111,14.808959176152921,0.2797036943161296,0.4844596010721667
